"행정구역","2023년12월_계_총인구수","2023년12월_계_연령구간인구수","2023년12월_계_0~9세","2023년12월_계_10~19세","2023년12월_계_20~29세","2023년12월_계_30~39세","2023년12월_계_40~49세","2023년12월_계_50~59세","2023년12월_계_60~69세","2023년12월_계_70~79세","2023년12월_계_80~89세","2023년12월_계_90~99세","2023년12월_계_100세 이상"
"서울특별시 용산구 한남동(1117068500)","17,755","17,755","1,027","1,013","2,042","3,197","2,931","2,835","2,479","1,400","717","113","1"
"서울특별시 용산구 서빙고동(1117069000)","12,432","12,432","658","1,373","1,558","1,436","2,152","2,148","1,630","761","598","113","5"
"서울특별시 용산구 보광동(1117070000)","11,147","11,147","263","538","1,494","1,760","1,496","2,012","1,930","1,007","562","82","3"
"서울특별시 성동구 (1120000000)","277,361","277,361","16,893","17,851","40,979","45,664","40,926","44,449","38,578","20,407","10,317","1,253","44"
"서울특별시 성동구 왕십리제2동(1120052000)","16,095","16,095","1,053","1,060","2,186","2,809","2,337","2,621","2,238","1,177","534","79","1"
"서울특별시 성동구 왕십리도선동(1120053500)","26,269","26,269","1,977","1,629","4,067","4,431","3,895","4,321","3,271","1,665","886","123","4"
"서울특별시 성동구 마장동(1120054000)","21,573","21,573","967","1,420","4,064","3,161","2,629","3,425","3,187","1,715","894","110","1"
"서울특별시 성동구 사근동(1120055000)","11,947","11,947","325","662","4,927","1,612","1,041","1,287","988","675","405","25","0"
"서울특별시 성동구 행당제1동(1120056000)","13,685","13,685","848","980","2,170","2,220","2,058","2,178","1,734","932","492","64","9"
"서울특별시 성동구 행당제2동(1120057000)","22,851","22,851","1,559","1,876","2,581","3,426","3,580","3,971","3,063","1,803","887","101","4"
"서울특별시 성동구 응봉동(1120058000)","14,941","14,941","977","1,483","1,664","2,033","2,607","2,508","1,867","1,103","631","67","1"
"서울특별시 성동구 금호1가동(1120059000)","14,745","14,745","1,071","1,033","1,522","2,314","2,476","2,320","2,178","1,178","576","76","1"
"서울특별시 성동구 금호2.3가동(1120061500)","21,953","21,953","1,540","1,292","2,465","3,778","3,574","3,530","3,072","1,706","877","111","8"
"서울특별시 성동구 금호4가동(1120062000)","14,154","14,154","1,185","930","1,314","2,310","2,619","2,128","1,964","1,099","536","66","3"
"서울특별시 성동구 옥수동(1120064500)","25,402","25,402","2,291","1,605","2,443","4,544","4,432","3,813","3,444","1,773","925","128","4"
"서울특별시 성동구 성수1가제1동(1120065000)","15,392","15,392","816","905","2,195","2,839","2,015","2,745","2,436","943","444","52","2"
"서울특별시 성동구 성수1가제2동(1120066000)","11,943","11,943","600","739","1,761","2,317","1,722","1,848","1,640","857","409","50","0"
"서울특별시 성동구 성수2가제1동(1120067000)","14,605","14,605","581","718","1,866","2,427","1,891","2,559","2,716","1,236","546","64","1"
"서울특별시 성동구 성수2가제3동(1120069000)","10,047","10,047","451","493","1,634","1,837","1,328","1,588","1,463","803","407","41","2"
"서울특별시 성동구 송정동(1120072000)","9,720","9,720","371","486","1,443","1,547","1,314","1,705","1,691","784","338","40","1"
