"행정구역","2023년12월_계_총인구수","2023년12월_계_연령구간인구수","2023년12월_계_0~9세","2023년12월_계_10~19세","2023년12월_계_20~29세","2023년12월_계_30~39세","2023년12월_계_40~49세","2023년12월_계_50~59세","2023년12월_계_60~69세","2023년12월_계_70~79세","2023년12월_계_80~89세","2023년12월_계_90~99세","2023년12월_계_100세 이상"
"서울특별시 서초구 반포3동(1165058000)","23,772","23,772","1,849","3,309","2,583","2,531","4,502","4,270","2,428","1,516","681","99","4"
"서울특별시 서초구 반포4동(1165058100)","18,473","18,473","1,425","2,097","2,069","2,342","3,241","3,077","2,264","1,356","507","93","2"
"서울특별시 서초구 방배본동(1165059000)","20,414","20,414","1,212","2,719","2,443","2,231","3,633","3,556","2,378","1,421","714","103","4"
"서울특별시 서초구 방배1동(1165060000)","16,512","16,512","934","1,298","2,162","2,676","2,745","2,467","2,093","1,459","600","77","1"
"서울특별시 서초구 방배2동(1165061000)","18,049","18,049","934","1,508","2,285","2,683","2,753","2,839","2,654","1,655","641","90","7"
"서울특별시 서초구 방배3동(1165062000)","15,882","15,882","1,073","1,616","1,814","1,888","2,527","2,618","2,330","1,384","546","82","4"
"서울특별시 서초구 방배4동(1165062100)","22,782","22,782","1,279","2,606","2,827","3,129","4,039","3,761","2,566","1,647","813","113","2"
"서울특별시 서초구 양재1동(1165065100)","41,988","41,988","2,732","4,428","4,676","5,981","7,021","6,404","5,910","3,366","1,241","223","6"
"서울특별시 서초구 양재2동(1165065200)","21,296","21,296","983","1,457","3,162","4,112","3,428","3,380","2,763","1,436","510","64","1"
"서울특별시 서초구 내곡동(1165066000)","17,196","17,196","1,433","1,558","1,653","2,303","2,945","2,451","2,596","1,539","616","100","2"
"서울특별시 강남구 (1168000000)","544,873","544,873","33,005","61,808","67,585","78,771","98,977","85,767","62,810","38,828","14,912","2,321","89"
"서울특별시 강남구 신사동(1168051000)","15,442","15,442","832","1,515","1,900","2,022","2,506","2,569","1,806","1,440","732","118","2"
"서울특별시 강남구 논현1동(1168052100)","21,040","21,040","550","819","3,874","5,223","3,628","2,770","2,149","1,361","571","91","4"
"서울특별시 강남구 논현2동(1168053100)","20,407","20,407","860","1,220","3,164","4,085","3,613","3,049","2,195","1,505","619","95","2"
"서울특별시 강남구 압구정동(1168054500)","25,580","25,580","1,788","2,691","2,763","2,765","4,276","4,269","3,149","2,518","1,171","177","13"
"서울특별시 강남구 청담동(1168056500)","24,629","24,629","1,659","2,205","3,149","3,698","4,416","3,999","2,953","1,741","697","107","5"
"서울특별시 강남구 삼성1동(1168058000)","12,150","12,150","653","1,123","1,555","1,715","1,920","2,051","1,655","1,009","411","58","0"
"서울특별시 강남구 삼성2동(1168059000)","30,593","30,593","1,985","3,539","3,837","4,649","6,148","5,015","2,623","1,912","791","90","4"
"서울특별시 강남구 대치1동(1168060000)","23,889","23,889","1,530","5,343","2,275","1,337","5,332","4,126","2,128","1,309","437","70","2"
"서울특별시 강남구 대치2동(1168061000)","38,235","38,235","2,204","6,719","4,008","3,312","7,351","6,676","4,500","2,601","748","112","4"
"서울특별시 강남구 대치4동(1168063000)","18,638","18,638","590","2,217","2,975","3,075","3,413","3,348","1,581","987","408","43","1"
"서울특별시 강남구 역삼1동(1168064000)","34,131","34,131","817","1,326","6,659","9,624","6,085","4,202","2,969","1,644","723","79","3"
"서울특별시 강남구 역삼2동(1168065000)","36,398","36,398","2,173","5,812","4,390","4,525","8,340","5,914","2,563","1,868","729","80","4"
"서울특별시 강남구 도곡1동(1168065500)","20,566","20,566","1,405","2,400","2,466","2,798","3,650","3,328","2,549","1,374","519","77","0"
"서울특별시 강남구 도곡2동(1168065600)","32,649","32,649","2,412","4,793","3,519","3,005","6,126","5,568","3,661","2,451","948","161","5"
"서울특별시 강남구 개포1동(1168066000)","11,886","11,886","848","1,380","1,180","1,186","2,066","1,888","1,865","1,081","344","46","2"
"서울특별시 강남구 개포2동(1168067000)","41,684","41,684","3,631","5,139","4,684","6,165","7,508","6,677","4,699","2,450","621","107","3"
"서울특별시 강남구 개포3동(1168067500)","16,832","16,832","1,018","1,606","1,628","2,392","2,921","2,447","2,451","1,711","575","79","4"
"서울특별시 강남구 개포4동(1168069000)","23,203","23,203","1,555","2,134","2,888","3,600","3,767","3,946","3,141","1,559","531","79","3"
"서울특별시 강남구 세곡동(1168070000)","45,531","45,531","3,642","5,067","5,333","7,033","8,071","6,264","5,392","3,012","1,441","265","11"
"서울특별시 강남구 일원본동(1168072000)","22,805","22,805","1,754","3,271","2,258","2,547","4,259","3,666","3,036","1,429","450","129","6"
"서울특별시 강남구 일원1동(1168073000)","14,558","14,558","577","998","1,946","2,120","2,009","2,140","2,520","1,554","590","100","4"
"서울특별시 강남구 수서동(1168075000)","14,027","14,027","522","491","1,134","1,895","1,572","1,855","3,225","2,312","856","158","7"
"서울특별시 송파구 (1171000000)","654,166","654,166","43,314","57,453","84,619","104,789","106,463","101,034","89,738","46,676","17,246","2,743","91"
"서울특별시 송파구 풍납1동(1171051000)","11,788","11,788","543","688","1,276","1,636","1,590","1,991","2,306","1,196","506","53","3"
"서울특별시 송파구 풍납2동(1171052000)","23,708","23,708","1,560","1,880","3,334","3,713","3,760","3,575","3,304","1,809","667","103","3"
"서울특별시 송파구 거여1동(1171053100)","12,027","12,027","490","849","1,597","1,646","1,595","2,164","2,008","1,142","467","66","3"
"서울특별시 송파구 거여2동(1171053200)","23,561","23,561","1,771","1,751","2,475","3,474","3,639","3,990","3,584","1,966","789","118","4"
"서울특별시 송파구 마천1동(1171054000)","17,982","17,982","673","1,348","1,987","1,982","2,357","3,373","3,374","1,902","876","109","1"
"서울특별시 송파구 마천2동(1171055000)","17,584","17,584","572","1,061","2,036","1,982","2,304","3,268","3,572","1,858","829","99","3"
"서울특별시 송파구 방이1동(1171056100)","15,124","15,124","885","1,453","2,090","2,131","2,360","2,587","2,122","1,026","395","69","6"
"서울특별시 송파구 방이2동(1171056200)","26,240","26,240","927","1,100","5,156","6,487","3,650","3,382","3,172","1,676","610","78","2"
"서울특별시 송파구 오륜동(1171056600)","17,796","17,796","1,085","2,534","1,925","1,600","3,036","3,015","2,645","1,469","389","96","2"
"서울특별시 송파구 오금동(1171057000)","37,413","37,413","2,265","2,952","4,678","5,070","5,347","6,560","6,123","3,005","1,160","245","8"
"서울특별시 송파구 송파1동(1171058000)","23,366","23,366","943","1,154","4,016","5,396","3,353","3,170","3,012","1,620","614","87","1"
"서울특별시 송파구 송파2동(1171059000)","18,548","18,548","1,238","1,745","2,348","2,653","2,949","2,931","2,789","1,380","438","76","1"
"서울특별시 송파구 석촌동(1171060000)","30,766","30,766","1,226","1,587","5,043","6,771","4,618","4,377","4,091","2,131","815","105","2"
"서울특별시 송파구 삼전동(1171061000)","29,075","29,075","1,084","1,736","4,767","6,322","4,663","4,141","3,687","1,875","695","99","6"
"서울특별시 송파구 가락본동(1171062000)","25,187","25,187","1,354","1,613","3,487","4,478","3,549","4,195","4,002","1,727","673","107","2"
"서울특별시 송파구 가락1동(1171063100)","27,468","27,468","3,003","2,716","2,572","4,732","4,923","3,630","3,608","1,789","436","58","1"
"서울특별시 송파구 가락2동(1171063200)","31,211","31,211","2,039","3,216","4,010","4,621","5,072","5,114","4,352","1,916","738","127","6"
"서울특별시 송파구 문정1동(1171064100)","19,521","19,521","1,053","1,386","2,822","3,313","2,737","3,097","3,157","1,415","461","77","3"
"서울특별시 송파구 문정2동(1171064200)","28,789","28,789","1,447","1,455","4,674","7,313","4,457","3,474","3,160","1,882","777","146","4"
"서울특별시 송파구 장지동(1171064600)","28,501","28,501","1,964","2,368","3,526","4,387","4,392","4,643","4,227","2,061","781","147","5"
"서울특별시 송파구 위례동(1171064700)","44,911","44,911","6,382","6,218","4,247","6,789","9,379","5,888","3,798","1,541","544","120","5"
"서울특별시 송파구 잠실본동(1171065000)","27,750","27,750","951","1,498","4,960","6,228","4,166","3,972","3,541","1,730","626","73","5"
"서울특별시 송파구 잠실2동(1171067000)","34,904","34,904","3,289","5,822","3,339","3,218","8,043","5,660","2,945","1,852","658","76","2"
"서울특별시 송파구 잠실3동(1171068000)","33,812","33,812","2,545","4,035","3,530","3,523","6,060","5,457","4,678","2,977","865","142","0"
"서울특별시 송파구 잠실4동(1171069000)","21,209","21,209","2,254","2,677","1,855","2,402","4,442","3,135","2,500","1,401","468","73","2"
"서울특별시 송파구 잠실6동(1171071000)","16,506","16,506","1,237","1,710","1,766","1,979","2,778","2,604","2,503","1,297","522","106","4"
"서울특별시 송파구 잠실7동(1171072000)","9,419","9,419","534","901","1,103","943","1,244","1,641","1,478","1,033","447","88","7"
"서울특별시 강동구 (1174000000)","459,167","459,167","30,892","38,861","56,452","68,615","74,382","70,761","68,416","35,608","13,174","1,929","77"
"서울특별시 강동구 강일동(1174051500)","34,099","34,099","3,086","3,703","3,507","4,366","5,638","5,003","5,015","2,559","1,010","204","8"
"서울특별시 강동구 상일제1동(1174052500)","39,317","39,317","4,517","4,818","3,434","5,103","8,027","5,495","5,062","2,172","595","90","4"
"서울특별시 강동구 상일제2동(1174052600)","11,736","11,736","1,002","1,342","1,534","1,659","1,784","1,756","1,327","879","378","72","3"
"서울특별시 강동구 명일제1동(1174053000)","25,278","25,278","2,024","2,343","2,720","3,750","4,144","3,901","3,742","1,932","618","100","4"
"서울특별시 강동구 명일제2동(1174054000)","17,036","17,036","933","2,380","2,119","1,796","2,939","2,672","2,505","1,268","347","74","3"
"서울특별시 강동구 고덕제1동(1174055000)","23,985","23,985","2,183","3,898","1,966","2,442","5,302","3,434","2,865","1,311","475","106","3"
"서울특별시 강동구 고덕제2동(1174056000)","22,773","22,773","2,404","2,354","2,052","3,441","4,411","3,220","2,954","1,419","455","62","1"
"서울특별시 강동구 암사제1동(1174057000)","33,729","33,729","1,711","2,321","4,284","4,863","5,142","5,794","5,397","2,893","1,169","153","2"
"서울특별시 강동구 암사제2동(1174058000)","14,874","14,874","1,141","986","1,767","2,633","2,316","2,270","2,061","1,179","455","65","1"
"서울특별시 강동구 암사제3동(1174059000)","17,172","17,172","1,514","1,928","1,769","2,039","3,129","2,598","2,387","1,280","450","71","7"
"서울특별시 강동구 천호제1동(1174060000)","25,971","25,971","1,128","1,518","3,280","3,852","3,683","4,342","4,581","2,494","974","115","4"
"서울특별시 강동구 천호제2동(1174061000)","32,786","32,786","1,447","1,629","4,627","6,033","4,716","5,100","5,171","2,802","1,131","125","5"
"서울특별시 강동구 천호제3동(1174062000)","26,054","26,054","1,132","1,066","4,250","5,053","3,493","3,876","4,085","2,081","890","120","8"
"서울특별시 강동구 성내제1동(1174064000)","19,391","19,391","1,315","1,585","2,485","2,971","3,249","2,959","2,702","1,501","553","68","3"
"서울특별시 강동구 성내제2동(1174065000)","23,505","23,505","843","1,035","3,937","4,403","3,066","3,456","3,740","2,086","839","97","3"
"서울특별시 강동구 성내제3동(1174066000)","22,437","22,437","981","1,490","3,266","3,313","3,358","3,804","3,504","1,920","722","74","5"
"서울특별시 강동구 길동(1174068500)","44,675","44,675","2,010","2,612","6,325","7,184","6,470","7,150","7,415","3,895","1,396","208","10"
"서울특별시 강동구 둔촌제1동(1174069000)","52","52","1","4","6","8","11","9","9","3","1","0","0"
"서울특별시 강동구 둔촌제2동(1174070000)","24,297","24,297","1,520","1,849","3,124","3,706","3,504","3,922","3,894","1,934","716","125","3"
"부산광역시  (2600000000)","3,293,362","3,293,362","194,403","263,339","377,587","390,659","484,716","541,925","560,720","320,407","141,906","17,268","432"
"부산광역시 중구 (2611000000)","38,619","38,619","875","1,662","5,395","4,259","4,408","6,343","7,761","5,107","2,457","333","19"
"부산광역시 중구 중앙동(2611051000)","3,077","3,077","42","54","876","759","334","337","353","214","87","21","0"
"부산광역시 중구 동광동(2611052000)","2,473","2,473","55","96","214","224","266","409","571","408","204","23","3"
"부산광역시 중구 대청동(2611053000)","5,799","5,799","129","271","823","581","689","946","1,192","735","370","60","3"
"부산광역시 중구 보수동(2611054500)","10,296","10,296","272","473","1,573","1,052","1,163","1,697","2,047","1,285","646","81","7"
"부산광역시 중구 부평동(2611056000)","4,214","4,214","68","168","447","397","477","710","958","659","290","39","1"
"부산광역시 중구 광복동(2611057000)","923","923","25","37","71","73","109","167","230","135","63","12","1"
"부산광역시 중구 남포동(2611058000)","807","807","7","22","39","59","69","163","248","142","52","6","0"
"부산광역시 중구 영주제1동(2611059000)","4,408","4,408","116","179","732","581","556","704","741","518","243","37","1"
"부산광역시 중구 영주제2동(2611060000)","6,622","6,622","161","362","620","533","745","1,210","1,421","1,011","502","54","3"
"부산광역시 서구 (2614000000)","104,089","104,089","4,886","7,001","12,227","10,377","13,487","16,868","19,387","12,627","6,385","828","16"
"부산광역시 서구 동대신제1동(2614051000)","5,307","5,307","317","334","564","611","714","861","922","606","333","44","1"
"부산광역시 서구 동대신제2동(2614052000)","6,737","6,737","207","410","633","507","793","1,175","1,384","996","554","78","0"
"부산광역시 서구 동대신제3동(2614053000)","7,368","7,368","342","495","1,146","751","926","1,113","1,255","830","442","64","4"
"부산광역시 서구 서대신제1동(2614054000)","14,903","14,903","1,153","1,269","1,672","1,867","2,410","2,239","2,069","1,395","729","100","0"
"부산광역시 서구 서대신제3동(2614056000)","7,507","7,507","440","753","788","740","1,105","1,274","1,241","738","366","60","2"
"부산광역시 서구 서대신제4동(2614057000)","7,214","7,214","456","753","737","683","1,089","1,206","1,213","688","341","46","2"
"부산광역시 서구 부민동(2614059000)","7,358","7,358","325","537","1,518","835","909","1,051","1,155","648","334","44","2"
"부산광역시 서구 아미동(2614061500)","6,389","6,389","89","205","807","593","588","995","1,405","1,060","568","77","2"
"부산광역시 서구 초장동(2614063000)","3,903","3,903","85","137","315","266","438","667","902","649","398","46","0"
"부산광역시 서구 충무동(2614064000)","9,607","9,607","371","473","1,279","1,026","1,166","1,586","1,891","1,182","576","56","1"
"부산광역시 서구 남부민제1동(2614065000)","4,524","4,524","102","146","361","359","452","797","1,082","778","399","47","1"
"부산광역시 서구 남부민제2동(2614066000)","8,067","8,067","178","376","652","577","886","1,376","1,890","1,415","647","69","1"
"부산광역시 서구 암남동(2614068000)","15,205","15,205","821","1,113","1,755","1,562","2,011","2,528","2,978","1,642","698","97","0"
"부산광역시 동구 (2617000000)","87,792","87,792","3,978","4,658","9,323","10,998","11,404","14,183","16,077","10,899","5,580","679","13"
"부산광역시 동구 초량제1동(2617051000)","4,828","4,828","122","256","647","552","627","813","871","622","292","26","0"
"부산광역시 동구 초량제2동(2617052000)","5,299","5,299","115","231","517","485","613","908","1,125","848","399","57","1"
"부산광역시 동구 초량제3동(2617053000)","12,500","12,500","1,136","820","1,712","2,367","2,077","1,769","1,471","752","348","45","3"
"부산광역시 동구 초량제6동(2617055000)","5,398","5,398","110","316","440","411","631","906","1,117","890","505","71","1"
"부산광역시 동구 수정제1동(2617056000)","3,951","3,951","145","274","435","357","533","640","704","560","264","39","0"
"부산광역시 동구 수정제2동(2617057000)","9,135","9,135","318","491","864","1,053","1,084","1,509","1,823","1,300","627","65","1"
"부산광역시 동구 수정제4동(2617059000)","3,550","3,550","66","140","282","251","333","618","750","647","420","43","0"
"부산광역시 동구 수정제5동(2617060000)","4,822","4,822","89","272","403","320","528","843","1,039","839","433","55","1"
"부산광역시 동구 좌천동(2617064500)","11,333","11,333","462","578","1,193","1,265","1,433","1,879","2,169","1,472","799","81","2"
"부산광역시 동구 범일제1동(2617065000)","10,971","10,971","270","494","1,019","1,084","1,222","1,812","2,474","1,589","896","110","1"
"부산광역시 동구 범일제2동(2617066000)","7,509","7,509","291","325","937","1,040","967","1,334","1,458","782","327","48","0"
"부산광역시 동구 범일제5동(2617068000)","8,496","8,496","854","461","874","1,813","1,356","1,152","1,076","598","270","39","3"
"부산광역시 영도구 (2620000000)","106,548","106,548","4,329","6,696","9,771","9,664","13,578","17,759","21,996","14,841","7,117","778","19"
"부산광역시 영도구 남항동(2620053000)","10,323","10,323","308","461","918","923","1,241","1,769","2,247","1,560","795","100","1"
"부산광역시 영도구 영선제1동(2620054000)","3,702","3,702","147","212","313","301","428","614","837","560","256","33","1"
"부산광역시 영도구 영선제2동(2620055000)","7,521","7,521","266","450","656","655","862","1,244","1,577","1,174","574","62","1"
"부산광역시 영도구 신선동(2620058500)","7,366","7,366","136","335","531","489","783","1,292","1,662","1,318","741","79","0"
"부산광역시 영도구 봉래제1동(2620059000)","6,279","6,279","239","352","527","567","803","958","1,406","937","432","56","2"
"부산광역시 영도구 봉래제2동(2620060500)","7,370","7,370","438","502","587","719","1,069","1,235","1,297","956","530","36","1"
"부산광역시 영도구 청학제1동(2620063000)","5,497","5,497","231","360","418","463","769","862","1,149","801","400","44","0"
"부산광역시 영도구 청학제2동(2620064000)","16,765","16,765","723","1,249","1,505","1,537","2,276","2,870","3,360","2,165","972","106","2"
"부산광역시 영도구 동삼제1동(2620065000)","27,848","27,848","1,292","2,028","2,977","2,764","3,632","4,761","5,467","3,269","1,481","169","8"
"부산광역시 영도구 동삼제2동(2620066000)","4,954","4,954","345","351","697","578","758","716","751","540","199","18","1"
"부산광역시 영도구 동삼제3동(2620067000)","8,923","8,923","204","396","642","668","957","1,438","2,243","1,561","737","75","2"
"부산광역시 부산진구 (2623000000)","359,508","359,508","19,487","23,904","49,500","50,107","49,677","56,364","59,016","33,830","15,769","1,815","39"
"부산광역시 부산진구 부전제1동(2623051000)","15,712","15,712","544","482","3,749","2,663","1,685","2,219","2,406","1,294","596","72","2"
"부산광역시 부산진구 부전제2동(2623052000)","11,886","11,886","692","532","2,829","2,304","1,631","1,600","1,381","620","260","35","2"
"부산광역시 부산진구 연지동(2623054000)","25,812","25,812","2,162","2,251","2,258","3,287","4,088","4,021","4,094","2,412","1,112","125","2"
"부산광역시 부산진구 초읍동(2623055000)","20,650","20,650","1,006","1,450","1,792","1,986","2,792","3,435","3,933","2,785","1,323","146","2"
"부산광역시 부산진구 양정제1동(2623056000)","19,058","19,058","893","1,253","2,550","2,397","2,521","3,359","3,199","1,842","920","121","3"
"부산광역시 부산진구 양정제2동(2623057000)","14,451","14,451","888","657","2,965","2,930","2,042","1,737","1,657","1,022","502","50","1"
"부산광역시 부산진구 전포제1동(2623060000)","20,809","20,809","1,234","1,156","4,371","4,197","2,942","2,565","2,263","1,310","682","87","2"
"부산광역시 부산진구 전포제2동(2623061000)","23,354","23,354","1,142","1,306","3,425","3,817","3,165","3,288","3,603","2,309","1,165","130","4"
"부산광역시 부산진구 부암제1동(2623064000)","23,462","23,462","1,708","1,854","2,598","3,389","3,676","3,741","3,536","1,979","870","108","3"
"부산광역시 부산진구 부암제3동(2623066000)","16,539","16,539","793","1,711","1,666","1,392","2,465","3,070","3,062","1,593","710","76","1"
"부산광역시 부산진구 당감제1동(2623067000)","21,443","21,443","794","1,650","2,271","2,049","2,780","4,016","4,262","2,350","1,120","147","4"
"부산광역시 부산진구 당감제2동(2623068000)","11,301","11,301","804","768","1,264","1,777","1,696","1,598","1,827","1,060","464","43","0"
"부산광역시 부산진구 당감제4동(2623070000)","10,621","10,621","515","816","982","1,080","1,471","2,031","2,029","1,121","521","53","2"
"부산광역시 부산진구 가야제1동(2623071000)","16,795","16,795","550","1,009","2,489","1,801","2,188","2,717","3,213","1,916","835","77","0"
"부산광역시 부산진구 가야제2동(2623072000)","18,298","18,298","1,099","1,421","1,998","2,187","2,519","2,931","3,202","2,020","827","90","4"
"부산광역시 부산진구 개금제1동(2623074000)","18,235","18,235","1,174","1,131","3,244","2,888","2,656","2,703","2,395","1,357","630","56","1"
"부산광역시 부산진구 개금제2동(2623075000)","10,162","10,162","424","732","1,318","961","1,259","1,746","1,933","1,180","554","54","1"
"부산광역시 부산진구 개금제3동(2623076000)","26,999","26,999","1,346","2,186","2,844","2,851","3,635","4,849","5,421","2,553","1,147","164","3"
"부산광역시 부산진구 범천제1동(2623077000)","12,225","12,225","455","467","2,479","2,485","1,542","1,650","1,667","913","508","58","1"
"부산광역시 부산진구 범천제2동(2623078000)","21,696","21,696","1,264","1,072","2,408","3,666","2,924","3,088","3,933","2,194","1,023","123","1"
"부산광역시 동래구 (2626000000)","270,815","270,815","18,208","25,429","28,476","31,431","43,250","44,031","43,054","25,129","10,530","1,251","26"
"부산광역시 동래구 수민동(2626051000)","30,925","30,925","2,088","2,659","3,154","3,747","4,678","5,027","5,089","3,030","1,293","158","2"
"부산광역시 동래구 복산동(2626052000)","8,586","8,586","249","500","735","736","979","1,460","1,914","1,276","648","88","1"
"부산광역시 동래구 명륜동(2626054500)","26,450","26,450","2,391","3,625","2,448","2,839","5,295","4,316","3,018","1,659","773","86","0"
"부산광역시 동래구 온천제1동(2626055000)","24,494","24,494","1,471","1,441","3,619","4,283","3,846","3,728","3,174","1,866","958","103","5"
"부산광역시 동래구 온천제2동(2626056000)","24,369","24,369","2,643","2,419","2,069","3,186","4,202","3,467","3,287","2,009","938","147","2"
"부산광역시 동래구 온천제3동(2626057000)","36,701","36,701","2,075","2,592","4,691","4,693","5,167","6,228","6,190","3,518","1,403","140","4"
"부산광역시 동래구 사직제1동(2626058000)","10,113","10,113","615","984","1,065","1,141","1,633","1,612","1,501","1,005","505","52","0"
"부산광역시 동래구 사직제2동(2626059000)","25,140","25,140","1,958","3,903","2,532","2,111","4,867","4,472","3,134","1,560","533","67","3"
"부산광역시 동래구 사직제3동(2626060000)","17,057","17,057","1,194","2,015","1,597","1,615","3,181","2,573","2,520","1,607","687","65","3"
"부산광역시 동래구 안락제1동(2626074000)","13,684","13,684","616","877","1,340","1,421","1,813","2,255","2,848","1,728","701","84","1"
"부산광역시 동래구 안락제2동(2626075000)","25,857","25,857","1,423","2,507","2,607","2,673","3,875","4,443","4,665","2,605","939","118","2"
"부산광역시 동래구 명장제1동(2626076100)","13,500","13,500","814","1,010","1,229","1,443","1,945","2,161","2,642","1,600","579","74","3"
"부산광역시 동래구 명장제2동(2626076200)","13,939","13,939","671","897","1,390","1,543","1,769","2,289","3,072","1,666","573","69","0"
"부산광역시 남구 (2629000000)","254,185","254,185","14,089","22,039","32,220","26,563","37,745","41,513","41,036","25,948","11,721","1,283","28"
"부산광역시 남구 대연제1동(2629051000)","15,323","15,323","331","834","3,697","1,696","1,717","2,205","2,243","1,675","838","87","0"
"부산광역시 남구 대연제3동(2629053000)","32,941","32,941","2,225","3,331","7,066","3,734","5,288","4,756","3,600","1,952","862","124","3"
"부산광역시 남구 대연제4동(2629054000)","13,475","13,475","1,071","984","1,126","1,860","2,079","1,907","2,190","1,491","685","80","2"
"부산광역시 남구 대연제5동(2629055000)","16,637","16,637","780","1,315","2,846","1,816","2,378","2,554","2,415","1,661","786","85","1"
"부산광역시 남구 대연제6동(2629056000)","14,746","14,746","1,395","1,699","1,453","1,693","2,725","2,278","1,839","1,120","484","58","2"
"부산광역시 남구 용호제1동(2629057000)","42,915","42,915","2,662","4,851","4,275","3,576","6,896","7,890","6,855","3,858","1,815","231","6"
"부산광역시 남구 용호제2동(2629058000)","19,540","19,540","1,404","1,984","1,773","2,163","3,235","3,039","3,189","1,963","695","94","1"
"부산광역시 남구 용호제3동(2629059000)","11,270","11,270","327","744","1,074","949","1,358","1,949","2,381","1,731","693","61","3"
"부산광역시 남구 용호제4동(2629060000)","7,755","7,755","328","566","746","774","1,151","1,258","1,508","985","395","42","2"
"부산광역시 남구 용당동(2629061000)","7,867","7,867","381","688","897","697","1,095","1,492","1,425","819","333","40","0"
"부산광역시 남구 감만제1동(2629062000)","8,713","8,713","361","697","808","867","1,253","1,500","1,726","1,031","435","35","0"
"부산광역시 남구 감만제2동(2629063000)","6,538","6,538","188","404","554","505","822","1,127","1,370","1,007","509","52","0"
"부산광역시 남구 우암동(2629064500)","12,281","12,281","434","819","1,040","1,043","1,558","1,993","2,681","1,838","782","91","2"
"부산광역시 남구 문현제1동(2629068000)","10,993","10,993","468","925","1,181","922","1,500","2,091","2,016","1,284","564","41","1"
"부산광역시 남구 문현제2동(2629069000)","7,916","7,916","283","342","1,067","1,238","1,055","1,140","1,320","877","537","54","3"
"부산광역시 남구 문현제3동(2629070000)","16,395","16,395","1,102","1,358","1,679","2,029","2,529","2,771","2,549","1,570","739","68","1"
"부산광역시 남구 문현제4동(2629071000)","8,880","8,880","349","498","938","1,001","1,106","1,563","1,729","1,086","569","40","1"
"부산광역시 북구 (2632000000)","273,596","273,596","15,966","21,311","30,177","32,370","37,049","49,047","51,540","24,512","10,329","1,256","39"
"부산광역시 북구 구포제1동(2632051000)","15,521","15,521","838","720","1,776","2,154","1,884","2,649","3,236","1,566","631","63","4"
"부산광역시 북구 구포제2동(2632052000)","23,761","23,761","1,001","1,584","2,687","2,812","3,029","4,479","4,925","2,246","911","83","4"
"부산광역시 북구 구포제3동(2632052100)","18,300","18,300","548","1,259","2,202","1,698","2,273","3,825","3,975","1,781","662","75","2"
"부산광역시 북구 금곡동(2632053000)","35,750","35,750","1,554","2,589","3,446","3,420","4,304","6,659","7,401","3,896","2,194","282","5"
"부산광역시 북구 화명제1동(2632054100)","40,118","40,118","3,411","4,150","4,678","4,990","5,965","7,536","6,429","2,131","737","86","5"
"부산광역시 북구 화명제2동(2632054200)","17,292","17,292","1,205","1,366","2,083","2,216","2,192","3,250","2,988","1,327","584","79","2"
"부산광역시 북구 화명제3동(2632054300)","28,554","28,554","2,009","3,487","3,453","2,918","4,624","5,478","3,670","1,924","877","110","4"
"부산광역시 북구 덕천제1동(2632055000)","12,350","12,350","517","515","1,408","1,743","1,444","1,953","2,544","1,466","669","87","4"
"부산광역시 북구 덕천제2동(2632056000)","11,243","11,243","306","509","1,415","1,400","1,288","1,960","2,474","1,239","565","84","3"
"부산광역시 북구 덕천제3동(2632056100)","10,088","10,088","292","585","1,140","959","1,270","1,716","2,135","1,323","594","72","2"
"부산광역시 북구 만덕제1동(2632057100)","16,344","16,344","1,393","1,008","1,464","2,823","2,430","2,320","2,946","1,439","486","35","0"
"부산광역시 북구 만덕제2동(2632057200)","26,556","26,556","1,995","2,293","2,615","3,307","3,991","4,271","4,813","2,373","781","117","0"
"부산광역시 북구 만덕제3동(2632057300)","17,719","17,719","897","1,246","1,810","1,930","2,355","2,951","4,004","1,801","638","83","4"
"부산광역시 해운대구 (2635000000)","380,448","380,448","23,130","35,520","40,453","41,581","59,413","67,569","61,825","33,516","15,335","2,048","58"
"부산광역시 해운대구 우제1동(2635051000)","22,150","22,150","1,149","1,634","2,543","2,789","3,260","3,806","3,675","2,227","941","123","3"
"부산광역시 해운대구 우제2동(2635052000)","30,023","30,023","2,417","3,146","2,939","3,382","4,969","5,402","4,291","2,285","1,045","141","6"
"부산광역시 해운대구 우제3동(2635052500)","28,010","28,010","2,542","3,211","2,360","2,826","5,003","4,645","4,216","2,127","925","148","7"
"부산광역시 해운대구 중제1동(2635053000)","27,215","27,215","2,013","2,505","3,060","3,328","4,593","4,866","3,763","2,009","961","111","6"
"부산광역시 해운대구 중제2동(2635054000)","15,243","15,243","1,101","1,173","1,394","1,900","2,589","2,672","2,610","1,253","471","78","2"
"부산광역시 해운대구 좌제1동(2635055100)","17,395","17,395","930","1,913","2,404","1,963","2,746","3,293","2,228","1,087","726","102","3"
"부산광역시 해운대구 좌제2동(2635055200)","30,735","30,735","1,650","2,578","4,283","4,312","4,470","5,507","4,513","2,074","1,172","173","3"
"부산광역시 해운대구 좌제3동(2635055300)","15,349","15,349","875","1,563","1,606","1,556","2,138","2,880","2,483","1,296","805","143","4"
"부산광역시 해운대구 좌제4동(2635055400)","22,210","22,210","1,443","2,709","2,509","2,332","3,516","4,227","3,100","1,440","821","108","5"
"부산광역시 해운대구 송정동(2635056000)","9,354","9,354","352","485","864","1,095","1,213","1,559","2,005","1,147","565","68","1"
