사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시
Dec-23,3호선,313,녹번,373015 ,330825 ,81300 ,79913 ,2024-01-03 9:18
Dec-23,3호선,314,홍제,389802 ,367603 ,148093 ,146927 ,2024-01-03 9:18
Dec-23,3호선,315,무악재,94699 ,91152 ,32569 ,34379 ,2024-01-03 9:18
Dec-23,3호선,316,독립문,152460 ,156813 ,68384 ,68125 ,2024-01-03 9:18
Dec-23,3호선,317,경복궁(정부서울청사),656807 ,674328 ,94522 ,92637 ,2024-01-03 9:18
Dec-23,3호선,318,안국,648087 ,674970 ,101717 ,107150 ,2024-01-03 9:18
Dec-23,3호선,319,종로3가,245424 ,295038 ,66515 ,76545 ,2024-01-03 9:18
Dec-23,3호선,320,을지로3가,292581 ,301563 ,52428 ,49951 ,2024-01-03 9:18
Dec-23,3호선,321,충무로,65 ,0 ,2 ,0 ,2024-01-03 9:18
Dec-23,3호선,322,동대입구,277700 ,305286 ,41327 ,44929 ,2024-01-03 9:18
Dec-23,3호선,323,약수,303511 ,294770 ,85232 ,80290 ,2024-01-03 9:18
Dec-23,3호선,324,금호,181440 ,165407 ,56710 ,55162 ,2024-01-03 9:18
Dec-23,3호선,325,옥수,198591 ,205147 ,60429 ,60527 ,2024-01-03 9:18
Dec-23,3호선,326,압구정,813866 ,890821 ,142238 ,142509 ,2024-01-03 9:18
Dec-23,3호선,327,신사,774933 ,815465 ,72859 ,70918 ,2024-01-03 9:18
Dec-23,3호선,328,잠원,115238 ,109019 ,32390 ,31069 ,2024-01-03 9:18
Dec-23,3호선,329,고속터미널,1354909 ,1310489 ,227210 ,212720 ,2024-01-03 9:18
Dec-23,3호선,330,교대(법원.검찰청),386297 ,227187 ,91509 ,49808 ,2024-01-03 9:18
Dec-23,3호선,331,남부터미널(예술의전당),744620 ,756175 ,128952 ,129745 ,2024-01-03 9:18
Dec-23,3호선,332,양재(서초구청),888586 ,976681 ,162979 ,163551 ,2024-01-03 9:18
Dec-23,3호선,333,매봉,279257 ,272947 ,74088 ,70113 ,2024-01-03 9:18
